Name,Category,Preparation Time,Cooking Time,Selling Price
Green Tea,Drinks / Beverages,5 minutes,0 minutes,50
Herbal Tea,Drinks / Beverages,5 minutes,0 minutes,50
"Fresh Juice (Orange,Pineapple ,Watermelon,Mango)",Drinks / Beverages,5 minutes,0 minutes,60
"Milkshakes (Banana, Chocolate,  Mango)",Drinks / Beverages,5 minutes,0 minutes,90
Lassi,Drinks / Beverages,5 minutes,0 minutes,85
Buttermilk,Drinks / Beverages,5 minutes,0 minutes,30
Smoothies,Drinks / Beverages,5 minutes,0 minutes,90
Soda,Drinks / Beverages,5 minutes,0 minutes,50
Tonic Water,Drinks / Beverages,5 minutes,0 minutes,60
Sparkling Water,Drinks / Beverages,5 minutes,0 minutes,70
Mojito,Drinks / Beverages,5 minutes,0 minutes,90
Mocktails,Drinks / Beverages,5 minutes,0 minutes,100
Wine,Drinks / Beverages,5 minutes,0 minutes,200
Beer,Drinks / Beverages,5 minutes,0 minutes,150
